#,,,,,,,,,,,
# The  should have the following fields for each media clip; separated by comma:,,,,,,,,,,,
# To specify the fields and their order in the  file, the first line in the  file should start with an ‘*’  (asterisk sign) followed by the list of field names, separated by a commas. Lines with a ‘#’ (hash sign) will not be processed.",,,,,,,,,,,
#,,,,,,,,,,,
#  -  Name – mandatory; name of the media,,,,,,,,,,,
#  -  Description – optional; description of the media,,,,,,,,,,,
#  -  Tag – optional; tags to be added to the media. Multiple tags can be assigned using double quotation marks for the entire field; and commas to separate between tags. For example: “ tag  1; tag 2”,,,,,,,,,,,
#  -  URL – mandatory; the URL from which the media is to be pulled. ,,,,,,,,,,,
#         Kaltura supports the following protocols: http; https; ftp. ,,,,,,,,,,,
#         In addition Kaltura supports user:password additions into the URL in the following format:,,,,,,,,,,,
#         protocol://username:password@domain/filepathname,,,,,,,,,,,
#         for example:,,,,,,,,,,,
#         ftp://projects8:741@ftp.kaltura.com/kaltura final 4_CD.wmv ,,,,,,,,,,,
#  -  Media Type – mandatory; must be one of the following: video; audio; image.,,,,,,,,,,,
#  -  Transcoding Profile ID – optional. Allows the user to specify the transcoding profile that will define the specific transcoding of the file.  If left blank; the system will use the default transcoding profile. If the ID does not exist; then the entry will be skipped and an error will be logged.,,,,,,,,,,,
#  -  Access Control Profile ID - optional. Allows the user to specify the Access Control Profile for each entry. If left blank; the system will use the default profile. If the ID does not exist; then the entry will be skipped and an error will be logged.,,,,,,,,,,,
#  -  Category – optional; if the category specified does not exist in the system; it will be created. ,,,,,,,,,,,
#         Multiple categories can be assigned using double quotation marks for the entire field; and commas to separate between categories. ,,,,,,,,,,,
#         Categories hierarchy can be created using the ‘greater than’ sign. ,,,,,,,,,,,
#         For example “Root Category >Sub Category”   ,,,,,,,,,,,
#  -  Scheduling Start Date – optional; can be left blank. ,,,,,,,,,,,
#         Date format is based on ISO 8601 using the YYYY-MM-DDThh:mm:ss format where the capital letter T is used to separate the date and time components. ,,,,,,,,,,,
#         Example: 2003-04-01T13:01:02 represents one minute and two seconds after one o'clock in the afternoon of 2003-04-01.  For further information please refer to : http://www.iso.org/iso/date_and_time_format#how-it-works,,,,,,,,,,,
#  -  Scheduling End Date - optional; can be left blank. See Start Date for date format.,,,,,,,,,,,
#  -  Thumbnail URL – optional; will pull the image from the URL and set it as the entry’s thumbnail. If left blank the system will take a frame from 5 seconds into the video.,,,,,,,,,,,
#  -  Partner Data – optional; can be left blank. ,,,,,,,,,,,
#         Arbitrary data that may be relevant for this entry; stored in Partner Data column. This data is not exposed in the KMC; and can currently only be retrieved via API.,,,,,,,,,,,
# - Custom Data - The  format supports populating custom data fields of an entry for  a single custom data schema/profile only. (Additional robust support is available when using the bulk upload XML format). Custom data are account specific settings that require  enablement of the Custom Data feature and the Custom Data Plugin for the account.,,,,,,,,,,,
#         The field name ""metadataProfileId""  should be added to the  and populated with the custom data schema ID to be used. The custom data Schema ID can be copied from the Custom Data Schemas page in the KMC.",,,,,,,,,,,
#         A Field Name for each Custom Data field should be added to the  with a fixed ""metadataField_"" prefix followed by the field name itself . Example:  ""metadataField_MyFieldName"".",,,,,,,,,,,
#           Custom data fields with multiple values should be populated into the  using a specific delimiter : ""|,|"" to separate each value. For example:   ""MyFieldValue1|,|MyFieldValue2"".",,,,,,,,,,,
#,,,,,,,,,,,
* title,description,tags,url,contentType,conversionProfileId,accessControlProfileId,category,scheduleStartDate,scheduleEndDate,thumbnailUrl,partnerData
Home,Homepage video with music,"Homepage, Creative",http://sites.google.com/site/demokmc/Home/KalturaSiteAlt.flv,Video,,,Sample Root Category,,,,
Companies to watch,Five companies to watch in 2009 report,"Kaltura, Press",http://sites.google.com/site/demokmc/Home/VideoFishbowl-TheFiveOnlineVideoCompaniesToWatchIn2009612.flv,Video,,,Sample Root Category,,,,
Creating together,Collaboration video,Collaboration,http://sites.google.com/site/demokmc/Home/spot.whats.mov,Video,,,Standard Definition>SD,,,,
Titanic in 5 Seconds,Titanic movie summarized in 5 seconds,"Titanic, Short",http://sites.google.com/site/demokmc/Home/titanicin5seconds.flv,Video,,,Low Resolution>SD,,,,
Humor,Promotional funny video,"Humor, Promotional",ftp://projects8:741@ftp.kaltura.com/kaltura final 4_CD.wmv,Video,,,Standard Definition>SD,,,,
Big Buck Bunny Trailer,A funny and furry 3D short about a giant rabbit who gets even with bullying rodents,"Big buck bunny, trailer",ftp://projects8:741@ftp.kaltura.com/BigBuckBunnyTrailerHD.mov,Video,,,High Definition>HD,,,,
Peir Video HD Clip,Peir Video ,QA,http://projects.kaltura.com/PSQA/demo/peir_videos_free_stock_footage.mp4,Video,,,High Definition>HD,,,,
Maid With the Flaxen Hair,Maid ,"qa, audio",http://projects.kaltura.com/PSQA/demo/MaidwiththeFlaxenHair.mp3,Audio,,,Audio>Mp3,,,,
Understanding Computer Technology,Clear Understanding,"qa, img",http://projects.kaltura.com/PSQA/demo/Computer.jpg,Image,,,Image,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#Home - Standard-Large, HD, and High-Large WILL NOT CONVERT. ",,,,,,,,,,,
#Companies to watch - Standard-Large, HD, and High-Large WILL NOT CONVERT. ",,,,,,,,,,,
#Creating together - HD, High-Large WILL NOT CONVERT.",,,,,,,,,,,
#Titanic in 5 Seconds - HD, High-Large WILL NOT CONVERT.",,,,,,,,,,,
#Humor - WILL NOT UPLOAD,,,,,,,,,,,
#Big Buck Bunny Trailer - WILL NOT UPLOAD,,,,,,,,,,,
#Peir Video HD Clip  - HD - WILL NOT CONVERT,,,,,,,,,,,
#Maid With the Flaxen Hair - WILL CONVERT TO ALL FLAVORS,,,,,,,,,,,
#Understanding Computer Technology,,,,,,,,,,,
